yearID,teamID,name,W,L,world_series_winner,win_pct,run_diff_per_game,runs_per_game,ops,home_runs_per_game,stolen_bases_per_game,era,whip
2007,ARI,Arizona Diamondbacks,90,72,0,0.5555555555555556,-0.12345679012345678,4.395061728395062,0.7336916745502959,1.0555555555555556,0.6728395061728395,4.13,1.3823733518390007
2007,COL,Colorado Rockies,90,73,0,0.5521472392638037,0.6257668711656442,5.276073619631902,0.7913712603332469,1.049079754601227,0.6134969325153374,4.32,1.359375
2007,PHI,Philadelphia Phillies,89,73,0,0.5493827160493827,0.4382716049382716,5.506172839506172,0.8117137511272298,1.3148148148148149,0.8518518518518519,4.73,1.4489142857142858
2007,CHN,Chicago Cubs,85,77,0,0.5246913580246914,0.38271604938271603,4.6419753086419755,0.75438169134226,0.9320987654320988,0.5308641975308642,4.04,1.3223502304147465
2008,LAA,Los Angeles Angels of Anaheim,100,62,0,0.6172839506172839,0.41975308641975306,4.722222222222222,0.7425562078474308,0.9814814814814815,0.7962962962962963,3.99,1.3174092788240699
2008,CHN,Chicago Cubs,97,64,0,0.6024844720496895,1.1428571428571428,5.3105590062111805,0.7970833494286074,1.1428571428571428,0.5403726708074534,3.87,1.2938878676470587
2008,TBA,Tampa Bay Rays,97,65,0,0.5987654320987654,0.6358024691358025,4.777777777777778,0.7623946618620188,1.1111111111111112,0.8765432098765432,3.82,1.2863023096272581
2008,BOS,Boston Red Sox,95,67,0,0.5864197530864198,0.9320987654320988,5.216049382716049,0.8051438306038223,1.0679012345679013,0.7407407407407407,4.01,1.3254206038257663
2008,PHI,Philadelphia Phillies,92,70,1,0.5679012345679012,0.7345679012345679,4.932098765432099,0.769979926137693,1.3209876543209877,0.8395061728395061,3.88,1.363761784318234
2008,MIL,Milwaukee Brewers,90,72,0,0.5555555555555556,0.3765432098765432,4.62962962962963,0.7565550484185386,1.2222222222222223,0.6666666666666666,3.85,1.3347836043050147
2008,CHA,Chicago White Sox,89,74,0,0.5460122699386503,0.5030674846625767,4.975460122699387,0.7797644372480985,1.4417177914110428,0.4110429447852761,4.06,1.3247198719414588
2008,LAN,Los Angeles Dodgers,84,78,0,0.5185185185185185,0.32098765432098764,4.320987654320987,0.7316087033039442,0.845679012345679,0.7777777777777778,3.68,1.285812989405804
2009,NYA,New York Yankees,103,59,1,0.6358024691358025,1.0,5.648148148148148,0.8393137077800199,1.5061728395061729,0.6851851851851852,4.26,1.3517241379310345
2009,LAA,Los Angeles Angels of Anaheim,97,65,0,0.5987654320987654,0.7530864197530864,5.450617283950617,0.7915278084079279,1.0679012345679013,0.9135802469135802,4.45,1.4089965397923876
2009,BOS,Boston Red Sox,95,67,0,0.5864197530864198,0.8395061728395061,5.382716049382716,0.8056376000620171,1.308641975308642,0.7777777777777778,4.35,1.4088167053364269
2009,LAN,Los Angeles Dodgers,95,67,0,0.5864197530864198,1.0432098765432098,4.814814814814815,0.7575205982721,0.8950617283950617,0.7160493827160493,3.41,1.2549773755656108
2009,PHI,Philadelphia Phillies,93,69,0,0.5740740740740741,0.6851851851851852,5.061728395061729,0.781010463390801,1.382716049382716,0.7345679012345679,4.16,1.3519578658117701
2009,COL,Colorado Rockies,92,70,0,0.5679012345679012,0.5493827160493827,4.962962962962963,0.7835992243680412,1.1728395061728396,0.654320987654321,4.22,1.3592120509849364
2009,SLN,St. Louis Cardinals,91,71,0,0.5617283950617284,0.5555555555555556,4.506172839506172,0.7471351305765693,0.9876543209876543,0.46296296296296297,3.66,1.295927811198519
2009,MIN,Minnesota Twins,87,76,0,0.5337423312883436,0.31901840490797545,5.012269938650307,0.7735891311515717,1.0552147239263803,0.5214723926380368,4.5,1.381968341362698
2010,PHI,Philadelphia Phillies,97,65,0,0.5987654320987654,0.8148148148148148,4.765432098765432,0.7453661398395796,1.0246913580246915,0.6666666666666666,3.67,1.2483405813687343
